MUNICIPIO,ID_MUNICIP,GVE,UNIDADE_DE_SAUDE,ENDERECO,TEM_SORO,TIPO_SORO,24H,TELEFONE,ACIDENTES,LATITUDE,LONGITUDE,BOTROPICO,CROTALICO,ELAPIDICO,LAQUETICO,LOXOSCELICO,FONEUTRICO,ESCORPIONICO,LONOMICO,lat,lon
ITAPORANGA,352280,GVE 16 BOTUCATU,HOSPITAL E MATERNIDADE NOSSA SENHORA DAS GRACAS,"Av. Santa Cruz, 184 - Centro, Itaporanga - SP, 18480-000",0,,1,(15) 3565-9530,,-2.370.790,-4.948.949,0,0,0,0,0,0,0,0,-23.7079,-49.48949
ITAPUI,352290,GVE 15 BAURU,HOSPITAL SAO JOSE DE ITAPUI,"Av. Paes De Barros, 286 - Centro, Itapuí - SP, 17230-000",1,Escorpiônico,1,(14) 3664-3229,ESCORPIÃO,-2.223.532,-4.872.205,0,0,0,0,0,0,1,0,-22.23532,-48.72205
ITAPURA,352300,GVE 11 ARACATUBA,UBS II DE ITAPURA,"Av. Mal. Artur Costa e Silva, 1120, Itapura - SP, 15390-000",0,,0,(18) 3745-1227,,-2.064.234,-5.150.885,0,0,0,0,0,0,0,0,-20.64234,-51.50885
ITAQUAQUECETUBA,352310,GVE 8 MOGI DAS CRUZES,HOSPITAL GERAL DE ITAQUAQUECETUBA,"R. Rio Negro, 48 - Jardim Nova Itaqua, Itaquaquecetuba - SP, 08599-280",0,,1,(11) 4645-4200,,-2.347.231,-4.634.542,0,0,0,0,0,0,0,0,-23.47231,-46.34542
ITARARE,352320,GVE 32 ITAPEVA,SANTA CASA DE MISERICÓRDIA - ITARARÉ,"RUA SÃO PEDRO, Nº 30 - CENTRO",1,"Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(15) 3532-3783 E (15) 99713-4686,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.411.607,-4.934.571,1,1,0,0,1,1,1,0,-24.11607,-49.34571
ITARIRI,352330,GVE 23 REGISTRO,PRONTO SOCORRO DRº TAMINATO TION,"RUA BENEDITO CALIXTO, 260 - CENTRO",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(13) 3418-8000,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.429.228,-4.717.529,1,1,0,0,1,1,1,0,-24.29228,-47.17529
ITATIBA,352340,GVE 17 CAMPINAS,SANTA CASA DE MISERICÓRDIA DE ITATIBA,"AV. DA SAUDADE, 43",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(11) 4594-8899,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.300.737,-4.683.331,1,1,0,0,1,1,1,0,-23.00737,-46.83331
ITATINGA,352350,GVE 16 BOTUCATU,HOSPITAL SANTA TEREZINHA E MATERNIDADE ERCILIA PIERONI,"PRACA SAO ROQUE, 48 - Centro, Itatinga - SP, 18690-000",0,,1,(14) 3848-1325,,-2.310.258,-4.861.272,0,0,0,0,0,0,0,0,-23.10258,-48.61272
ITIRAPINA,352360,GVE 20 PIRACICABA,HOSPITAL SÃO JOSÉ DE  ITIRAPINA,"AV. NOVE, 709, VILA CIANELI",1,Escorpiônico,1,(19) 3575-9200,ESCORPIÃO.,-2.224.977,-4.782.230,0,0,0,0,0,0,1,0,-22.24977,-47.8223
ITIRAPUA,352370,GVE 18 FRANCA,CS III - ITIRAPUA,"RUA SAO SEBASTIAO,4700",0,,0,(16) 3146-1213,,-2.063.874,-4.722.117,0,0,0,0,0,0,0,0,-20.63874,-47.22117
