ANT_TEMPO_,TP_ACIDENT,ID_MUNICIP,nome_destino,cod_macro_destino,macro_destino,cod_RS_destino,RS_destino,lat_destino,lon_destino,ANT_MUNIC_,nome_origem,cod_macro_origem,macro_origem,cod_RS_origem,RS_origem,lat_origem,lon_origem,distancia_km,total_ocorrencias
1.0,1.0,350450,Avaré,3518,RRAS9,35061,VALE DO JURUMIRIM,-23.1067,-48.9251,350055.0,Águas de Santa Bárbara,3518,RRAS9,35061,VALE DO JURUMIRIM,-22.8812,-49.2421,40.98727828843399,7
1.0,1.0,350450,Avaré,3518,RRAS9,35061,VALE DO JURUMIRIM,-23.1067,-48.9251,350310.0,Arandu,3518,RRAS9,35061,VALE DO JURUMIRIM,-23.1386,-49.0487,13.143970836633637,6
1.0,1.0,350450,Avaré,3518,RRAS9,35061,VALE DO JURUMIRIM,-23.1067,-48.9251,351140.0,Cerqueira César,3518,RRAS9,35061,VALE DO JURUMIRIM,-23.038,-49.1655,25.781423910488428,3
1.0,1.0,350450,Avaré,3518,RRAS9,35061,VALE DO JURUMIRIM,-23.1067,-48.9251,351925.0,Iaras,3518,RRAS9,35061,VALE DO JURUMIRIM,-22.8682,-49.1634,35.98060084352949,9
1.0,1.0,350450,Avaré,3518,RRAS9,35061,VALE DO JURUMIRIM,-23.1067,-48.9251,352180.0,Itaí,3518,RRAS9,35061,VALE DO JURUMIRIM,-23.4213,-49.092,38.80145754803417,4
1.0,1.0,350450,Avaré,3518,RRAS9,35061,VALE DO JURUMIRIM,-23.1067,-48.9251,352860.0,Manduri,3518,RRAS9,35061,VALE DO JURUMIRIM,-23.0056,-49.3202,42.009354127443125,7
1.0,1.0,350450,Avaré,3518,RRAS9,35061,VALE DO JURUMIRIM,-23.1067,-48.9251,353580.0,Paranapanema,3518,RRAS9,35061,VALE DO JURUMIRIM,-23.3862,-48.7214,37.31873860286997,5
1.0,1.0,350450,Avaré,3518,RRAS9,35061,VALE DO JURUMIRIM,-23.1067,-48.9251,354105.0,Pratânia,3518,RRAS9,35063,POLO CUESTA,-22.8112,-48.6636,42.30949981468083,1
1.0,1.0,350460,Bady Bassitt,3531,RRAS12,35155,SAO JOSE DO RIO PRETO,-20.9197,-49.4385,353280.0,Nova Aliança,3531,RRAS12,35155,SAO JOSE DO RIO PRETO,-21.0156,-49.4986,12.320637249169854,1
1.0,1.0,350460,Bady Bassitt,3531,RRAS12,35155,SAO JOSE DO RIO PRETO,-20.9197,-49.4385,354080.0,Potirendaba,3531,RRAS12,35155,SAO JOSE DO RIO PRETO,-21.0428,-49.3815,14.862234388808098,1
