ID_MUNICIP,nome_destino,cod_macro_destino,macro_destino,cod_RS_destino,RS_destino,lat_destino,lon_destino,ANT_MUNIC_,nome_origem,cod_macro_origem,macro_origem,cod_RS_origem,RS_origem,lat_origem,lon_origem,distancia_km,total_ocorrencias
355020,São Miguel Arcanjo,3519,RRAS8,35161,ITAPETININGA,-23.8782,-47.9935,354060.0,Porto Feliz,3519,RRAS8,35163,SOROCABA,-23.2093,-47.5251,88.17878269342188,2
355020,São Miguel Arcanjo,3519,RRAS8,35161,ITAPETININGA,-23.8782,-47.9935,355385.0,Taquarivaí,3519,RRAS8,35162,ITAPEVA,-23.9211,-48.6948,71.57156158727189,1
355040,São Pedro,3529,RRAS14,35103,PIRACICABA,-22.5483,-47.9096,352360.0,Itirapina,3529,RRAS14,35104,RIO CLARO,-22.2562,-47.8166,33.73364125485402,1
355070,São Sebastião,3526,RRAS17,35173,LITORAL NORTE,-23.7951,-45.4143,353230.0,Natividade da Serra,3526,RRAS17,35174,VALE DO PARAIBA REGIAO SERRANA,-23.3707,-45.4468,47.12017915919676,1
355080,São Sebastião da Grama,3528,RRAS15,35143,RIO PARDO,-21.7041,-46.8208,350950.0,Campinas,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.9053,-47.0659,135.3904170550962,1
355090,São Simão,3530,RRAS13,35132,AQUIFERO GUARANI,-21.4732,-47.5518,350940.0,Cajuru,3530,RRAS13,35133,VALE DAS CACHOEIRAS,-21.2749,-47.303,33.8800576361567,1
355090,São Simão,3530,RRAS13,35132,AQUIFERO GUARANI,-21.4732,-47.5518,355170.0,Sertãozinho,3530,RRAS13,35131,HORIZONTE VERDE,-21.1316,-47.9875,58.94303786749565,1
355110,Sarapuí,3519,RRAS8,35161,ITAPETININGA,-23.6397,-47.8249,350290.0,Araçoiaba da Serra,3519,RRAS8,35163,SOROCABA,-23.5029,-47.6166,26.109929078194103,1
355170,Sertãozinho,3530,RRAS13,35131,HORIZONTE VERDE,-21.1316,-47.9875,350940.0,Cajuru,3530,RRAS13,35133,VALE DAS CACHOEIRAS,-21.2749,-47.303,72.8203423963405,1
355170,Sertãozinho,3530,RRAS13,35131,HORIZONTE VERDE,-21.1316,-47.9875,352510.0,Jardinópolis,3530,RRAS13,35132,AQUIFERO GUARANI,-21.0176,-47.7606,26.74484506008861,1
355170,Sertãozinho,3530,RRAS13,35131,HORIZONTE VERDE,-21.1316,-47.9875,352760.0,Luís Antônio,3530,RRAS13,35132,AQUIFERO GUARANI,-21.55,-47.7801,51.07779582553854,1
355170,Sertãozinho,3530,RRAS13,35131,HORIZONTE VERDE,-21.1316,-47.9875,354340.0,Ribeirão Preto,3530,RRAS13,35132,AQUIFERO GUARANI,-21.1699,-47.8099,18.92767570922217,3
355170,Sertãozinho,3530,RRAS13,35131,HORIZONTE VERDE,-21.1316,-47.9875,355680.0,Viradouro,3530,RRAS13,35052,SUL - BARRETOS,-20.8734,-48.293,42.73258688931133,2
355190,Severínia,3530,RRAS13,35051,NORTE - BARRETOS,-20.8108,-48.8054,353150.0,Monte Azul Paulista,3530,RRAS13,35052,SUL - BARRETOS,-20.9065,-48.6387,20.32783687616249,6
355220,Sorocaba,3519,RRAS8,35163,SOROCABA,-23.4969,-47.4451,350075.0,Alambari,3519,RRAS8,35161,ITAPETININGA,-23.5503,-47.898,46.62799438329986,1
355220,Sorocaba,3519,RRAS8,35163,SOROCABA,-23.4969,-47.4451,350220.0,Angatuba,3519,RRAS8,35161,ITAPETININGA,-23.4917,-48.4139,98.95997894504686,2
355220,Sorocaba,3519,RRAS8,35163,SOROCABA,-23.4969,-47.4451,350270.0,Apiaí,3519,RRAS8,35162,ITAPEVA,-24.5108,-48.8443,181.32323043499088,3
355220,Sorocaba,3519,RRAS8,35163,SOROCABA,-23.4969,-47.4451,350535.0,Barra do Chapéu,3519,RRAS8,35162,ITAPEVA,-24.4722,-49.0238,193.59102758762305,2
355220,Sorocaba,3519,RRAS8,35163,SOROCABA,-23.4969,-47.4451,350800.0,Buri,3519,RRAS8,35162,ITAPEVA,-23.7977,-48.5958,122.03736673226253,1
